AREA,PERIMETER,QCST_TAG,FCODE,GEOMETRY,OBJECTID,AREA_SQM,FEAT_LEN,X,Y
,1054.044,ISLAND,GE14850000,,1361,67690.4925,1054.0433,,
,402.718,ISLAND,GE14850000,,1363,8702.1784,402.7186,,
,400.504,ISLAND,GE14850000,,1359,8601.6746,400.5055,,
,384.027,ISLAND,GE14850000,,1357,8619.7238,384.0271,,
,74092.011,ISLAND,GE14850000,,4991,207079526.0731,74092.0169,,
,101080.623,ISLAND,GE14850000,,4962,237487176.1062,101080.6378,,
,71419.86,ISLAND,GE14850000,,604,92729278.2162,71419.8595,,
,1077.905,ISLAND,GE14850000,,740,72324.0722,1077.9048,,
,943.17,ISLAND,GE14850000,,736,30388.1415,943.1698,,
,535.992,ISLAND,GE14850000,,735,13059.9492,535.9915,,
,587.985,ISLAND,GE14850000,,734,16707.0653,587.9846,,
,645.126,ISLAND,GE14850000,,731,23143.8229,645.1252,,
,820.18,ISLAND,GE14850000,,714,28684.9096,820.1805,,
,1041.595,ISLAND,GE14850000,,655,53110.7636,1041.5946,,
,3963.191,ISLAND,GE14850000,,645,680607.8499,3963.1911,,
,419.485,ISLAND,GE14850000,,640,9575.8375,419.4853,,
,500.037,ISLAND,GE14850000,,638,16604.9714,500.0369,,
,735.556,ISLAND,GE14850000,,626,32319.3717,735.5562,,
,760.182,ISLAND,GE14850000,,624,31854.9915,760.1816,,
,402.927,ISLAND,GE14850000,,613,11122.1354,402.9275,,
,1438.611,ISLAND,GE14850000,,609,109325.8525,1438.6111,,
,545.862,ISLAND,GE14850000,,611,16787.2065,545.862,,
,953.253,ISLAND,GE14850000,,5384,41038.8699,953.2532,,
,534.304,ISLAND,GE14850000,,5377,21205.8434,534.3043,,
,669.227,ISLAND,GE14850000,,5366,24643.7599,669.2263,,
,586.995,ISLAND,GE14850000,,5365,25809.7692,586.9955,,
,8446.133,ISLAND,GE14850000,,5351,2403623.4587,8446.1342,,
,8190.02,ISLAND,GE14850000,,5179,1682686.3542,8190.0197,,
,12167824.844,MAINLAND,HB15335000,,5764,889277743659.219,12167824.825,,
,31592855.121,OCEAN,GG19265000,,5428,92130186959.648,31592855.0785,,
,235996.449,ISLAND,GE14850000,,1141,821970201.4066,235996.45,,
,483.269,ISLAND,GE14850000,,5171,17249.8418,483.2694,,
,506.397,ISLAND,GE14850000,,5173,17818.7936,506.3965,,
,1326.35,ISLAND,GE14850000,,5169,86264.5746,1326.3502,,
,439.72,ISLAND,GE14850000,,1628,14387.3412,439.7198,,
,425.034,ISLAND,GE14850000,,1185,12960.5099,425.0339,,
,421.276,ISLAND,GE14850000,,1781,11800.0305,421.2756,,
,721.347,ISLAND,GE14850000,,1762,30140.8424,721.3468,,
,299.706,ISLAND,GE14850000,,1172,6257.0151,299.7062,,
,293.069,ISLAND,GE14850000,,1174,5974.9329,293.0696,,
,145881.851,ISLAND,GE14850000,,6054,167247504.5204,145881.8623,,
,24492.02,ISLAND,GE14850000,,607,14610482.9932,24492.0191,,
,473.535,ISLAND,GE14850000,,633,15298.0737,473.5359,,
,472.637,ISLAND,GE14850000,,632,15448.7309,472.6369,,
,2350.283,ISLAND,GE14850000,,635,247633.2642,2350.2832,,
,399.03,ISLAND,GE14850000,,606,11080.6698,399.0296,,
,850.849,ISLAND,GE14850000,,618,51130.0481,850.8492,,
,1216.701,ISLAND,GE14850000,,5341,81959.761,1216.702,,
,1609.81,ISLAND,GE14850000,,693,141382.7049,1609.8107,,
,2667.932,ISLAND,GE14850000,,686,333415.1571,2667.9317,,
,742.099,ISLAND,GE14850000,,685,28697.8114,742.0987,,
,1524.68,ISLAND,GE14850000,,670,87219.7905,1524.6803,,
,1743.68,ISLAND,GE14850000,,660,181733.1251,1743.6809,,
,1451.021,ISLAND,GE14850000,,659,128088.8097,1451.0213,,
,5385.368,ISLAND,GE14850000,,644,1048872.2502,5385.3673,,
,826.196,ISLAND,GE14850000,,662,46676.0884,826.1967,,
,1291.14,ISLAND,GE14850000,,657,72126.1941,1291.1384,,
,1960.156,ISLAND,GE14850000,,650,175721.0583,1960.1559,,
,2346.229,ISLAND,GE14850000,,639,245484.8934,2346.2272,,
,11950.134,ISLAND,GE14850000,,5260,4566639.0355,11950.1342,,
,910.642,ISLAND,GE14850000,,5253,52557.7063,910.6413,,
,681.041,ISLAND,GE14850000,,5356,22534.5266,681.0412,,
,657218.982,ISLAND,GE14850000,,5121,2277624892.7781,657219.002,,
,728.352,ISLAND,GE14850000,,5357,31743.1763,728.3526,,
,243.506,ISLAND,GE14850000,,5328,3677.6206,243.5062,,
,472.563,ISLAND,GE14850000,,5355,15849.0304,472.5631,,
,1062.154,ISLAND,GE14850000,,5359,71793.792,1062.1551,,
,460.838,ISLAND,GE14850000,,5352,14618.1098,460.8385,,
,586.325,ISLAND,GE14850000,,5358,23479.9555,586.3252,,
,264.9,ISLAND,GE14850000,,5330,2897.0588,264.8992,,
,600.11,ISLAND,GE14850000,,5369,24939.0167,600.1102,,
,299.549,ISLAND,GE14850000,,5368,6152.1518,299.5496,,
,933.405,ISLAND,GE14850000,,5374,40535.2629,933.4045,,
,237.218,ISLAND,GE14850000,,5363,3775.6867,237.2175,,
,611.473,ISLAND,GE14850000,,5379,25970.9851,611.4727,,
,758.773,ISLAND,GE14850000,,5362,29592.0712,758.7733,,
,281.164,ISLAND,GE14850000,,5373,5402.4079,281.1638,,
,1405.541,ISLAND,GE14850000,,5375,99484.2044,1405.5422,,
,221.314,ISLAND,GE14850000,,5338,3300.3205,221.3133,,
,409.776,ISLAND,GE14850000,,5361,9015.9111,409.7769,,
,2956.836,ISLAND,GE14850000,,5360,331369.6266,2956.8349,,
,1445.399,ISLAND,GE14850000,,5371,121856.6193,1445.3994,,
,1103.81,ISLAND,GE14850000,,5367,67012.7535,1103.8111,,
,960.597,ISLAND,GE14850000,,5345,42192.8451,960.5959,,
,634.658,ISLAND,GE14850000,,612,28914.2404,634.6574,,
,241.905,ISLAND,GE14850000,,5332,4190.8168,241.9041,,
